candidate_id,registry_class,construct_name,donor_species,sequence_id,sequence_accessions,reference_sequence_ids,sequence_status,sequence_readiness,sequence_unresolved_reason,target_tissue,target_tissue_basis,mechanism,evidence_tier,registered_expression_class,primary_parameter_id,h3_endpoint,h3_unit,h3_scale,h3_direction,h3_margin,h3_min_probability,gates,principal_failure_mode,prequalification_requirement,evidence_ids,evidence_label,program_status
"PQ_PPSOS3","prequalification","PpSOS3_PpCBL4","Prunus persica","Prupe.2G310300.1","Prupe.2G310300.1","not_applicable","reference_locus_only","functional_complex_unresolved","Reference locus is identified, but experimental allele, Ca binding, myristoylation/localization, and full-complex activation are not verified","root tissue and membrane location unresolved","program_assumption","Calcineurin B-like calcium sensor in the SOS pathway","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","PpSOS2 interaction evidence only; no complete SOS-complex directional function","Verify Ca binding, myristoylation/localization, and activation of the complete SOS complex","EV_PRUNUS_SOS_MAP_2024","hypothesis_prior","held_for_prequalification"
"PQ_PPCBL10","prequalification","PpCBL10","Prunus persica","Prupe.1G412900","Prupe.1G412900","not_applicable","reference_locus_only","interaction_and_function_unresolved","Reference ortholog is identified, but Rootpac 40 allele, interactome, and selective Ca-dependent SOS activation are not verified","root tissue and membrane location unresolved","program_assumption","Calcineurin B-like calcium sensor candidate","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Higher Rootpac 40 expression is association only and broad CIPK misactivation is a risk","Map the interactome and show Ca-dependent SOS1 activation without broad CIPK misactivation","EV_ROOTPAC40_TRANSCRIPTOME_2022|EV_PRUNUS_SOS_MAP_2024","hypothesis_prior","held_for_prequalification"
"PQ_PPAKT1","prequalification","PpAKT1","Prunus persica","Prupe.1G472600","Prupe.1G472600","not_applicable","reference_locus_only","transport_function_unresolved","Reference ortholog is identified, but Rootpac 40 allele, electrophysiology, and K/Na selectivity are not verified","root membrane location unresolved","program_assumption","AKT1-like potassium channel candidate","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Rootpac 40 expression association only; altered membrane potential or nutrient imbalance could offset benefit","Perform patch clamp or equivalent transport assay, K/Na selectivity, nutrient balance, and membrane-potential tests","EV_ROOTPAC40_TRANSCRIPTOME_2022","hypothesis_prior","held_for_prequalification"
"PQ_PPKUP8_LIKE","prequalification","PpKUP8-like","Prunus persica","Prupe.5G236500","Prupe.5G236500","not_applicable","reference_locus_only","transport_function_unresolved","Reference ortholog is identified, but Rootpac 40 allele, kinetics, selectivity, redundancy, and organ allocation are not verified","root membrane location unresolved","program_assumption","KUP8-like potassium transporter candidate","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Rootpac 40 expression association only; unknown redundancy and K/Na selectivity","Establish transport kinetics, K/Na selectivity, redundancy, and organ-level allocation","EV_ROOTPAC40_TRANSCRIPTOME_2022","hypothesis_prior","held_for_prequalification"
"PQ_ANO10_LIKE","prequalification","ANO10_TMEM16-like","Prunus persica","Prupe.3G053200","Prupe.3G053200","not_applicable","reference_locus_only","transport_function_unresolved","Reference ortholog is identified, but Rootpac 40 allele, membrane location, direction, and Cl/nitrate selectivity are not verified","root membrane and xylem-facing location unresolved","program_assumption","ANO10/TMEM16-like anion-homeostasis candidate; homolog evidence suggests an anion/H+ symporter","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Expression association and homolog analogy only; it is not a known chloride-exclusion channel","Establish membrane location, direction, Cl/nitrate selectivity, and xylem Cl before any exclusion claim","EV_ROOTPAC40_TRANSCRIPTOME_2022","hypothesis_prior","held_for_prequalification"
"PQ_MSL10_LIKE","prequalification","MSL10-like mechanosensitive-channel candidate","Prunus persica","Prupe.7G202700","Prupe.7G202700","not_applicable","reference_locus_only","transport_function_unresolved","Reference ortholog is identified, but Rootpac 40 allele, mechanosensitive current, selectivity, localization, and signaling effects are not verified","root membrane and cell-layer location unresolved","program_assumption","MSL10-like mechanosensitive-channel homeostasis hypothesis","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Expression association only; channel activation could induce damaging cell-death signaling and is not proven to exclude chloride","Demonstrate mechanosensitive current, ion selectivity, localization, xylem Cl effect, and absence of damaging cell-death signaling","EV_ROOTPAC40_TRANSCRIPTOME_2022","hypothesis_prior","held_for_prequalification"
"PQ_KCS1_LIKE","prequalification","Prunus KCS1-like ortholog","Prunus species unresolved","unresolved","unresolved","unresolved","unresolved","blocked_unresolved","Unresolved exact KCS1 locus, allele, haplotype, and construct sequence","root endodermal/exodermal barrier tissue if identity is resolved","program_assumption","Very-long-chain-fatty-acid/suberin barrier hypothesis","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","KCS1 induction and stronger suberization are associations; excessive barrier formation may reduce hydraulic conductance and nutrient uptake","Remap the exact locus/haplotype, then measure suberin chemistry/anatomy, hydraulics, nutrients, and Na/Cl permeability","EV_ROOT_GRADIENT_2021","hypothesis_prior","held_for_prequalification"
"PQ_NHX1_2","prequalification","Generic Prunus NHX1/2 candidates","Prunus species unresolved","unresolved","unresolved","unresolved","unresolved","paralog_and_compartment_unresolved","Unresolved exact paralog, locus, sequence, allele, and verified subcellular compartment","tonoplast only if paralog and localization are verified","program_assumption","Vacuolar Na+/H+ or K+/H+ sequestration hypothesis","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Paralog, compartment, proton-driving capacity, K effects, and pH injury are unresolved","Pin sequence and paralog, verify tonoplast localization and transport, and show adequate proton pumping without K/pH injury","EV_ROOT_GRADIENT_2021|EV_PRUNUS_SOS_MAP_2024","hypothesis_prior","held_for_prequalification"
"PQ_PPPIP1_2","prequalification","PpPIP1-2","Prunus persica","Prupe.5G101400","Prupe.5G101400","not_applicable","reference_locus_only","hydraulic_function_unresolved","Reference ortholog is identified, but Rootpac 40 allele, water permeability, and salt-delivery consequence are not verified","root hydraulic tissues unresolved","program_assumption","Plasma-membrane intrinsic aquaporin and hydraulic-conductance hypothesis","E4","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Rootpac 40 expression association only; greater water flow could increase salt delivery rather than tolerance","Measure water permeability, root hydraulic conductivity, and whether greater flow increases salt delivery","EV_ROOTPAC40_TRANSCRIPTOME_2022","hypothesis_prior","held_for_prequalification"
"PQ_PAVNHX37","prequalification","PavNHX37","Prunus avium","unresolved","unresolved","unresolved","unresolved","blocked_unresolved","Unresolved exact public accession and frozen donor sequence despite source-reported chromosome coordinates, CDS length, and protein length","root plasma membrane only after sequence, phylogeny, and topology audit","program_assumption","Source-described plasma-membrane NHX-family Na+/H+ antiporter hypothesis","E3","not_registered_pending_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","not_applicable_prequalification","Recent tobacco phenotype with unusual annotation; sequence identity, topology, direct transport, stable-line independence, and organ ion fate require audit","Perform phylogeny/domain/topology audit, direct transport assay, and organ-resolved ion-flux test","EV_PAVNHX37_2026","hypothesis_prior","held_for_prequalification"
